taxonomy	S85	S94	S95	S96	S103	S109	S112	S113	S15	S21	S31	S57	S77	S78
Bacilli	37	7656	33	9	98	31	59	90	97	117	192	72	78	457
Gammaproteobacteria	2767	3	859	784	1156	534	619	2292	1218	1695	1956	3423	2543	443
Betaproteobacteria	5456	1	1963	1620	248	101	95	412	92	204	381	214	2732	159
Alphaproteobacteria	171	2	82	33	912	1592	125	2329	210	354	3195	252	243	124
Actinobacteria	9	2	15	5	53	18	42	18	85	117	81	90	88	21
Sphingobacteriia	0.00	0.00	0.00	1	3	5	4	2	14	16	16	38	27	10
Flavobacteriia	10	0.00	2	2	19	9	16	9	32	45	31	152	93	10
Deinococci	0.00	0.00	0.00	0.00	0.00	0.00	1	1	0.00	0.00	0.00	0.00	1	4
Coriobacteriia	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NO_rank	2	0.00	2	1	0.00	0.00	0.00	1	0.00	1	0.00	4	0.00	0.00
Mollicutes	1	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Gemmatimonadetes	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00	0.00	0.00
Clostridia	5	12	2	0.00	1	0.00	0.00	0.00	0.00	1	0.00	0.00	0.00	0.00
Rhodothermia	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Acidobacteriia	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Gloeobacteria	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00	0.00	0.00
Rubrobacteria	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00	1	0.00	0.00
Blastocatellia	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00	0.00	0.00
Verrucomicrobiae	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4	0.00
Deltaproteobacteria	3	0.00	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5	0.00
Oligoflexia	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	1	0.00
Hydrogenophilalia	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00
Planctomycetia	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5	0.00	0.00	1	0.00
Chitinophagia	1	0.00	0.00	0.00	4	0.00	0.00	0.00	8	7	3	1	4	0.00
Ignavibacteria	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Acidithiobacillia	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Solibacteres	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4	0.00	0.00	0.00	0.00
Nitrospinia	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Spirochaetia	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00	0.00	0.00
Cytophagia	2	0.00	1	0.00	1	1	0.00	0.00	0.00	0.00	0.00	1	0.00	0.00
Epsilonproteobacteria	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Tissierellia	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Thermoleophilia	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
